Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2025-08-07,219.36245727539062,223.1300048828125,196.07801818847656,517.8318481445312,180.73997497558594
2025-08-08,228.6541748046875,222.69000244140625,200.9669952392578,519.0249633789062,182.6696319580078
2025-08-11,226.747802734375,221.3000030517578,200.54794311523438,518.7565307617188,182.0297393798828
2025-08-12,229.21310424804688,221.47000122070312,202.88267517089844,526.183349609375,183.1295623779297
2025-08-13,232.88612365722656,224.55999755859375,201.50579833984375,517.5733642578125,181.55982971191406
2025-08-14,232.337158203125,230.97999572753906,202.48358154296875,519.4623413085938,181.98974609375
2025-08-15,231.1494140625,231.02999877929688,203.44140625,517.1657104492188,180.42001342773438
2025-08-18,230.4507598876953,231.49000549316406,203.04232788085938,514.1134643554688,181.97975158691406
2025-08-19,230.1213836669922,228.00999450683594,201.11668395996094,506.8257751464844,175.61080932617188
2025-08-20,225.5800323486328,223.80999755859375,198.87171936035156,502.7991638183594,175.370849609375
2025-08-21,224.47215270996094,221.9499969482422,199.3007354736328,502.15185546875,174.95091247558594
2025-08-22,227.3267059326172,228.83999633789062,205.62648010253906,505.1295166015625,177.96043395996094
2025-08-25,226.72784423828125,227.94000244140625,208.02110290527344,502.17181396484375,179.78012084960938
2025-08-26,228.87376403808594,228.7100067138672,206.6741180419922,499.96099853515625,181.7397918701172
2025-08-27,230.05152893066406,229.1199951171875,207.0133514404297,504.6415100097656,181.56982421875
2025-08-28,232.11758422851562,231.60000610351562,211.1640167236328,507.5295104980469,180.1400604248047
2025-08-29,231.69837951660156,229.0,212.43115234375,504.59173583984375,174.1510467529297
2025-09-02,229.28298950195312,225.33999633789062,210.87466430664062,503.0282287597656,170.75161743164062
2025-09-03,238.01634216308594,225.99000549316406,230.1412353515625,503.2572937011719,170.59165954589844
2025-09-04,239.32383728027344,235.67999267578125,231.7775421142578,505.866455078125,171.63148498535156
2025-09-05,239.2340087890625,232.3300018310547,234.4714813232422,492.9501647949219,166.9922637939453
2025-09-08,237.42745971679688,235.83999633789062,233.72247314453125,496.13690185546875,168.2820281982422
2025-09-09,233.9041748046875,238.24000549316406,239.30491638183594,496.3460388183594,170.7316131591797
2025-09-10,226.35855102539062,230.3300018310547,238.84552001953125,498.29791259765625,177.300537109375
2025-09-11,229.59239196777344,229.9499969482422,240.0438995361328,498.9352722167969,177.1505584716797
2025-09-12,233.6247100830078,228.14999389648438,240.4733123779297,507.7884521484375,177.80047607421875
2025-09-15,236.24969482421875,231.42999267578125,251.26864624023438,513.225830078125,177.73048400878906
2025-09-16,237.6969451904297,234.0500030517578,250.8192596435547,506.9320068359375,174.86080932617188
2025-09-17,238.5353546142578,231.6199951171875,249.19146728515625,507.9079284667969,170.27130126953125
2025-09-18,237.42745971679688,231.22999572753906,251.68807983398438,506.3444519042969,176.2206573486328
2025-09-19,245.032958984375,231.47999572753906,254.3744354248047,515.78515625,176.6505889892578
2025-09-22,255.5928192138672,227.6300048828125,252.18739318847656,512.319580078125,183.58984375
2025-09-23,253.9459686279297,220.7100067138672,251.31858825683594,507.1212463378906,178.410400390625
2025-09-24,251.8300018310547,220.2100067138672,246.80470275878906,508.0373840332031,176.9505615234375
2025-09-25,256.3813171386719,218.14999389648438,245.45654296875,504.9303283691406,177.67050170898438
2025-09-26,254.97401428222656,219.77999877929688,246.2055206298828,509.34197998046875,178.17044067382812
2025-09-29,253.9459686279297,222.1699981689453,243.71890258789062,512.4689331054688,181.83004760742188
2025-09-30,254.14559936523438,219.57000732421875,242.77020263671875,515.8051147460938,186.55950927734375
2025-10-01,254.9640350341797,220.6300048828125,244.5677490234375,517.557861328125,187.21945190429688
2025-10-02,256.6408386230469,222.41000366210938,245.35667419433594,513.604248046875,188.8692626953125
2025-10-03,257.5291442871094,219.50999450683594,245.01715087890625,515.20751953125,187.59939575195312
2025-10-06,256.20166015625,220.89999389648438,250.09024047851562,526.3811645507812,185.51962280273438
2025-10-07,255.99209594726562,221.77999877929688,245.42657470703125,521.8101196289062,185.01968383789062
2025-10-08,257.569091796875,225.22000122070312,244.2881317138672,522.676513671875,189.0892333984375
2025-10-09,253.55670166015625,227.74000549316406,241.2023162841797,520.2366943359375,192.54885864257812
2025-10-10,244.80340576171875,216.3699951171875,236.2490692138672,508.84405517578125,183.139892578125
2025-10-13,247.18885803222656,220.07000732421875,243.81875610351562,511.9212341308594,188.29933166503906
2025-10-14,247.29864501953125,216.38999938964844,245.1169891357422,511.4432373046875,180.01022338867188
2025-10-15,248.86566162109375,215.57000732421875,250.68942260742188,511.3038024902344,179.8102569580078
2025-10-16,246.97926330566406,214.47000122070312,251.1188507080078,509.4913330078125,181.7900390625
2025-10-17,251.81002807617188,213.0399932861328,252.9563446044922,511.4532470703125,183.19989013671875
2025-10-20,261.7411193847656,216.47999572753906,256.2019348144531,514.6498413085938,182.6199493408203
2025-10-21,262.27008056640625,222.02999877929688,250.12020874023438,515.5162963867188,181.14010620117188
2025-10-22,257.9583435058594,217.9499969482422,251.34854125976562,518.3843994140625,180.2602081298828
2025-10-23,259.0861511230469,221.08999633789062,252.73666381835938,518.404296875,182.13999938964844
2025-10-24,262.3200378417969,224.2100067138672,259.5673828125,521.441650390625,186.23953247070312
2025-10-27,268.2986145019531,226.97000122070312,268.9046630859375,529.3189697265625,191.46897888183594
2025-10-28,268.4882507324219,229.25,267.1071472167969,539.8252563476562,201.0079345703125
2025-10-29,269.1869201660156,230.3000030517578,274.197509765625,539.307373046875,207.01727294921875
2025-10-30,270.8836669921875,222.86000061035156,281.09814453125,523.582763671875,202.8677215576172
2025-10-31,269.85565185546875,244.22000122070312,280.8085021972656,515.6656494140625,202.4677734375
2025-11-03,268.53814697265625,254.0,283.3350830078125,514.888916015625,206.85728454589844
2025-11-04,269.5262756347656,249.32000732421875,277.1634521484375,512.2001342773438,198.66818237304688
2025-11-05,269.6260986328125,250.1999969482422,283.92425537109375,505.0597839355469,195.18858337402344
2025-11-06,269.25677490234375,243.0399932861328,284.3636779785156,495.04144287109375,188.05935668945312
2025-11-07,267.9592590332031,244.41000366210938,278.45172119140625,494.7626037597656,188.1293487548828
2025-11-10,269.1781311035156,248.39999389648438,289.7064208984375,503.9045715332031,199.0281524658203
2025-11-11,274.99267578125,249.10000610351562,290.914794921875,506.573486328125,193.1387939453125
2025-11-12,273.21435546875,244.1999969482422,286.3210144042969,509.0233154296875,193.7787322998047
2025-11-13,272.6948547363281,237.5800018310547,278.19207763671875,501.205810546875,186.8394775390625
2025-11-14,272.15533447265625,234.69000244140625,276.0350036621094,508.0672607421875,190.1491241455078
2025-11-17,267.2099609375,232.8699951171875,284.63330078125,505.3883972167969,186.5795135498047
2025-11-18,267.19000244140625,222.5500030517578,283.8943176269531,491.74517822265625,181.340087890625
2025-11-19,268.3089294433594,222.69000244140625,292.4127502441406,485.1027526855469,186.49951171875
2025-11-20,266.0010986328125,217.13999938964844,289.05731201171875,477.3404846191406,180.6201629638672
2025-11-21,271.2361755371094,220.69000244140625,299.25347900390625,471.04486083984375,178.86036682128906
2025-11-24,275.6620788574219,226.27999877929688,318.14776611328125,472.92059326171875,182.52996826171875
2025-11-25,276.7110900878906,229.6699981689453,323.0011901855469,475.90374755859375,177.80047607421875
2025-11-26,277.29052734375,229.16000366210938,319.5159606933594,484.3943786621094,180.24020385742188
2025-11-28,278.5893249511719,233.22000122070312,319.7456359863281,490.88958740234375,176.98056030273438
2025-12-01,282.8353576660156,233.8800048828125,314.46282958984375,485.6315612792969,179.90025329589844
2025-12-02,285.9224548339844,234.4199981689453,315.38153076171875,488.8841552734375,181.44007873535156
2025-12-03,283.8843688964844,232.3800048828125,319.19635009765625,476.64208984375,179.57028198242188
2025-12-04,280.4375915527344,229.11000061035156,317.1890869140625,479.7449951171875,183.37008666992188
2025-12-05,278.5193786621094,229.52999877929688,320.8341064453125,482.0597229003906,182.40013122558594
2025-12-08,277.6302185058594,226.88999938964844,313.49932861328125,489.9018249511719,185.5399627685547
2025-12-09,276.9208679199219,227.9199981689453,316.85693359375,490.8995361328125,184.95999145507812
2025-12-10,278.5193786621094,231.77999877929688,319.9847412109375,477.4701843261719,183.77005004882812
2025-12-11,277.77008056640625,230.27999877929688,312.210205078125,482.3690185546875,180.92019653320312
2025-12-12,278.0198669433594,226.19000244140625,309.07244873046875,477.4402770996094,175.01052856445312
2025-12-15,273.8537292480469,222.5399932861328,308.003173828125,473.73870849609375,176.28045654296875
2025-12-16,274.353271484375,222.55999755859375,306.3543395996094,475.3051452636719,177.71038818359375
2025-12-17,271.58587646484375,221.27000427246094,296.5112609863281,475.0357360839844,170.93075561523438
2025-12-18,271.935546875,226.75999450683594,302.2472229003906,482.87786865234375,174.1305694580078
2025-12-19,273.4141845703125,227.35000610351562,306.9439392089844,484.8134460449219,180.98020935058594
2025-12-22,270.7166748046875,228.42999267578125,309.56207275390625,483.81573486328125,183.6800537109375
2025-12-23,272.1053771972656,232.13999938964844,314.1288757324219,485.7413330078125,189.19976806640625
2025-12-24,273.55401611328125,232.3800048828125,313.8690490722656,486.90863037109375,188.59979248046875
2025-12-26,273.1444091796875,232.52000427246094,313.2894592285156,486.599365234375,190.51968383789062
2025-12-29,273.50408935546875,232.07000732421875,313.33941650390625,485.9907531738281,188.20980834960938
2025-12-30,272.82470703125,232.52999877929688,313.6292419433594,486.3699035644531,187.52984619140625
2025-12-31,271.6058349609375,230.82000732421875,312.7798156738281,482.5186767578125,186.4899139404297
